"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN011180800","JABALPUR, IN","2000-01-01","0.00","61","76",
"IN011180800","JABALPUR, IN","2000-01-02","0.00","58","75","45"
"IN011180800","JABALPUR, IN","2000-01-03","0.00","61","74","45"
"IN011180800","JABALPUR, IN","2000-01-04","0.00","59","75","44"
"IN011180800","JABALPUR, IN","2000-01-05","0.00","58","74","44"
"IN011180800","JABALPUR, IN","2000-01-06","0.00","60","74","43"
"IN011180800","JABALPUR, IN","2000-01-07","0.00","61","77","48"
"IN011180800","JABALPUR, IN","2000-01-08","0.00","62","79","47"
"IN011180800","JABALPUR, IN","2000-01-09","0.00","66","83","49"
"IN011180800","JABALPUR, IN","2000-01-10","0.00","69","84","54"
"IN011180800","JABALPUR, IN","2000-01-11","0.00","71","87","53"
"IN011180800","JABALPUR, IN","2000-01-12",,"67","87",
"IN011180800","JABALPUR, IN","2000-01-13","0.00","69","82",
"IN011180800","JABALPUR, IN","2000-01-14",,"67","79","56"
"IN011180800","JABALPUR, IN","2000-01-15",,"64","75","55"
"IN011180800","JABALPUR, IN","2000-01-16",,"59","70",
"IN011180800","JABALPUR, IN","2000-01-17",,"55","70","46"
"IN011180800","JABALPUR, IN","2000-01-18",,"60","76","43"
"IN011180800","JABALPUR, IN","2000-01-19",,"66","82","51"
"IN011180800","JABALPUR, IN","2000-01-20",,"65","79","52"
"IN011180800","JABALPUR, IN","2000-01-21",,"68","83",
"IN011180800","JABALPUR, IN","2000-01-22",,"66","82","51"
"IN011180800","JABALPUR, IN","2000-01-23",,"66","81","52"
"IN011180800","JABALPUR, IN","2000-01-24",,"67","78","54"
"IN011180800","JABALPUR, IN","2000-01-25",,"65",,"50"
"IN011180800","JABALPUR, IN","2000-01-26",,"75","85","51"
"IN011180800","JABALPUR, IN","2000-01-27",,"68","83","56"
"IN011180800","JABALPUR, IN","2000-01-28",,"60","72",
"IN011180800","JABALPUR, IN","2000-01-29",,"60","73","47"
